words	gend_m
beautiful	1.441
beauty	1.807
beaver	4.414
become	3.857
bed	3.588
bee	3.152
beef	5.559
beehive	3.364
beer	5.882
beet	4.063
beetle	4.882
befall	3.871
beg	3.914
beggar	4.844
begin	4.091
beginning	3.516
behalf	3.853
behave	3.625
behaviour	3.886
behind	3.758
beige	3.353
belfry	4.182
belief	3.343
believe	3.483
bell	3.706
belly	4.467
belong	3.241
belt	5.267
bench	4.294
bend	3.735
beneficial	3.543
benefit	3.571
bereavement	3.438
berry	2.743
best	4.088
betray	4.818
betrayal	4.677
beverage	4.257
beware	4.781
bicycle	4.088
bid	4.438
bigot	5.382
bike	4.912
billion	4.588
binder	4.156
biology	3.647
bird	3.25
birth	1.912
birthday	3.853
biscuit	3.571
bishop	6.031
bison	5.107
bit	4.156
bit (bite)	4.147
bit (horse bridal)	4
bit (small amount)	3.765
bitch	1.939
bitchy	1.588
bitter	4.294
bizarre	4.414
black	5.059
blackmail	4.706
blacksmith	6.333
blade	5.455
blame	4.286
bland	3.963
blank	4.029
blasphemy	4.97
blaze	4.857
blazes	4.808
bleak	4.412
blend	3.594
blender	3.815
bless	2.9
blessed	2.686
blessing	2.528
blessings	2.697
blimp	4.452
blind	4.061
bliss	2.455
blister	4.265
block	4.879
bloke	6.529
blond	2.576
blonde	1.647
blood	4.212
bloody	4.743
bloom	2.156
blossom	2.057
blouse	1.758
blow	4.114
blow (hit)	5.333
blow (wind)	4.029
blubber	3.559
blubber (cry)	2.971
blubber (fat)	4.061
blue	5.2
blueberry	3.206
bluff	4.441
blunder	4.424
blunt	5
board	4.529
board (enter)	4.182
board (executive)	5.156
board (wooden)	4.853
boarded	4.706
boast	4.939
boastful	5.294
boat	4.922
body	3.212
boil	4.353
boiler	5.273
bold	5.152
bollocks	6.235
bomb	5.618
bomber	5.667
bond	3.735
bondage	4.546
bonds	3.912
bonds (money)	4.97
bonds (restraints)	4.714
bone	4.625
bones	4.281
bongo	4.606
bonnet	2.7
bonus	4.697
book	3.667
book (read)	3.364
book (reserve)	4.029
bookcase	4
boom	5.286
boost	4.455
boot	4.5
boot (car)	5.057
boot (evict)	5
boot (shoe)	4.514
bored	4.143
boredom	4.714
boring	4.471
born	3.296
borrow	4
bosom	1.771
boss	5.686
botanist	3.966
botany	3.484
bother	4.611
bottle	4.167
bottom	3.758
bought	3.875
boulder	5.531
bounce	3.406
bouncy	3.324
bound	4.235
bouquet	2.057
bout	4.594
bow	3.853
bow (bend)	4.606
bow (ribbon)	2.086
bow (ship)	4.516
bow (weapon)	4.941
bowel	4.606
bowl	3.971
box	4.344
box (container)	4.471
box (sport)	6.303
boxer	5.912
boxer (dog)	5.559
boxer (fighter)	6.343
boxing	6.03
boy	6.529
boycott	4.788
bra	1.177
bracelet	1.686
bracket	4.484
brain	4.276
brainy	4
brake	4.771
brand	3.767
brass	4.778
brasserie	2.303
brassiere	1.909
brave	5
bravery	5.563
brazen	4.226
breach	4.639
bread	3.793
break	4.567
break (destroy)	5.618
break (luck)	3.909
break (rest)	3.727
breakfast	3.636
breast	1.303
breasts	1.382
breeze	2.818
brew	4.706
brewer	5
bribe	4.743
bridal	1.258
bridal (horse)	3.088
bridal (marriage)	1.515
bride	1.429
bridegroom	4.758
bridesmaid	1.257
bridesmaids	1.424
bridge	4.765
bridge (card game)	4.177
bridge (structure)	5.486
brief	4.333
bright	2.97
bright (light)	3.571
bright (smart)	3.314
brilliant	3.543
brilliant (great)	3.879
brilliant (intelligent)	3.914
brilliant (luminous)	2.882
brink	4.188
brisk	4.546
broccoli	4.069
broken	4.031
bronze	4.222
broom	3.75
brother	6.677
brow	4.118
brown	4.688
brunch	2.97
brunette	1.824
brush	2.607
brushed	3.267
brutal	5.618
brute	5.853
bubble	2.677
bubbly	2.788
buffalo	5.714
bugle	4.2
build	5.382
builder	6.212
building	5.353
bulb	3.818
bulb (light)	4.229
bulb (plant)	3.469
bulge	5.118
bulk	5.706
bull	6.286
bulldozer	5.824
bullet	5.412
bullish	5.767
bully	5.4
bundle	3.412
bungalow	3.879
bunk	4.629
bunk (bed)	4.824
bunk (truant)	4.967
bunny	2.314
buoy	5.091
burden	4.065
burger	5.323
burglar	5.516
burglary	5.1
burgle	5.333
burial	4.265
burn	4.879
burner	4.636
burnt	4.429
burst	4.147
bury	4.543
bus	4.412
business	5.088
businessman	6.394
bust	2.771
bust (break)	4.969
bust (breasts)	1.743
bust (sculpture)	3.382
busy	3.879
busybody	2.813
butcher	5.971
butler	6.353
butt	3.885
butter	3.778
butterfly	2.086
button	3.912
buy	3.686
buzzard	4.6
cabin	4.382
cabinet	4.242
cabinet (closet)	3.533
cabinet (council)	5.194
cacti	4.371
cactus	4.514
cafe	2.727
cake	2.857
cakes	2.546
calcium	4.314
calculus	4.765
calendar	3.441
calf	3.889
calf (cow)	3.563
calf (muscle)	4.824
call	3.677
call (shout)	4.375
call (telephone)	3.03
call (visit)	3.353
calm	3.229
camel	4.267
camera	3.727
camouflage	5.486
camp	4.313
camp (effeminate)	3.688
camp (tents)	5.125
camper	4.714
campus	4.152
canal	3.606
cancer	4.156
candidate	4.467
candle	3.097
candy	2.743
candyfloss	2.485
cane	4.706
cane (beat)	4.971
cane (stick)	5.114
cane (sugar)	3.546
cannon	5.333
canoe	4.75
canyon	4.824
cap	5
cap (hat)	5.657
cap (limit)	4.424
capable	3.971
capacity	4.177
cape	4.938
captivate	3.867
captivating	3.333
captive	4.276
capture	5.091
car	5.444
caravan	4.313
carbohydrate	4.091
carbon	4.909
carcass	4.625
card	3.714
care	2.323
career	4.273
careful	2.735
caress	2.355
carnival	3.343
carol	2.781
carp	4.414
carpenter	5.735
carpet	3.4
carriage	2.969
carrot	3.853
carry	4.424
carve	5
case	4.076
case (container)	4.03
case (instance)	4.588
case (legal)	4.941
cash	4.706
cashier	3.471
casino	5.441
cast	3.971
cast (actors)	4.371
cast (plaster bandage)	4.229
cast (throw)	4.849
castle	4.8
casual	4.371
casualty	4.455
cat	2.727
catapult	5.355
catastrophe	4.618
catch	4.393
catch (a ball)	5.457
