words	gend_m
essence	2.853
estate	4.647
estimate	4.429
ethnic	3.967
euphoria	3.029
evaluate	4.029
evangelist	4.067
even	3.514
even (odd)	3.441
even (still)	3.794
evening	4
event	3.815
ever	3.455
every	3.939
everything	3.647
evidence	4.265
evil	5.029
evoke	3.936
exact	4.086
exam	4.303
examination	4.333
excel	4.031
excellence	3.743
excellent	3.667
excited	3.324
excitement	3.424
exciting	3.286
exclaim	3.857
exclude	4.484
exclusion	4.059
excrement	4.818
excuse	4.706
execute	5.588
execute (accomplish)	5.086
execute (kill)	5.677
execution	5.059
executioner	5.943
exercise	4.618
exert	4.788
exertion	4.968
exhaust	4.909
exhausted	3.735
exhaustion	4.286
exhibit	3.971
exist	4.088
existence	3.944
expand	4.563
expanse	4.313
expedition	5.242
expel	4.235
expensive	2.971
experiment	4.5
expert	4.464
explain	3.543
exploration	4.818
explore	4.677
explorer	5.212
export	4.844
express	3.471
expression	2.813
exquisite	2.8
exterminate	5.75
extravagant	3.086
extreme	5.344
eye	3.647
eyebrows	3.118
eyelashes	1.686
eyes	2.853
fabric	2.677
fabricate	3.735
fabrication	3.969
fabulous	1.941
face	3.355
Facebook	4.171
facility	4.143
fact	4.813
faction	4.5
factory	5.206
fade	3.618
faded	3.767
faeces	4.824
fail	4.375
failure	4.361
faint	2.952
faint (colllapse)	2.853
faint (weak)	3.177
fair	2.813
fair (exhibition)	3.375
fair (honest)	2.677
fair (light)	2.743
fair (weather)	3.294
fairy	1.708
faith	3.061
faithful	2.486
fake	3.156
falcon	4.941
fall	4.177
fall (drop)	3.886
fall (season)	3.636
fallacy	4.333
FALSE	4.353
falter	3.962
fame	3.303
family	2.679
famous	3.7
fanciful	2.394
fans	4
fans (air)	3.912
fans (sports)	5.882
fantastic	3.441
fantasy	3.171
fare	3.879
fare (charge)	4.121
fare (food)	3.5
farewell	3.088
farm	4.758
farmer	6.143
fart	6.306
fascinating	2.969
fashion	1.735
fast	5.059
fast (quick)	4.844
fast (starve)	3.382
fat	3.706
fatal	4.686
fate	3.212
father	6.788
father (dad)	6.727
father (priest)	6.529
fatigue	3.625
fault	4.257
favour	3.364
fear	3.647
fearful	3.586
feat	4.467
feature	3.529
feeble	3.276
feet	4.262
feet (body)	4.171
feet (length)	4.735
feline	1.794
fence	4.407
ferret	4.393
ferry	3.971
festival	3.618
festive	3.294
feudal	5.387
feudalism	5.08
fever	4.031
few	3.857
fiber	3.857
fibre	4.088
fiction	3.909
fictitious	3.767
fiddle	3.75
fiddle (adjust)	3.394
fiddle (violin)	3.324
fiddler	4.706
field	4.563
fierce	4.143
fight	5.931
fighter	5.971
fighting	5.714
figment	3.71
figure	2.882
figure (body shape)	2.061
figure (graph)	4.886
figure (number)	4.226
figure (reckon)	4.2
file	4.242
file (record)	3.657
file (tool)	4.719
fill	4.265
filling	4.097
film	3.906
filter	4.125
filth	4.971
filthy	4.882
finance	4.706
financial	5
finger	3.971
fingers	4.171
finish	4.235
fire	4.758
fire (employment)	5.029
fire (flames)	4.559
fire (gun)	5.727
fireman	6.686
fireplace	4.111
fireworks	4.516
firm	5.147
first	4.121
fish	3.97
fisherman	6.546
fist	5.618
fit	4.457
fit (convulsion)	4.156
fit (healthy)	4.618
fit (suitable)	4.088
fizzy	3.8
flab	4
flabby	3.667
flap	3.781
flask	4.821
flatulence	5.5
flatulent	5.367
flea	4.406
flee	3.606
fleet	4.714
flesh	4.188
flick	3.588
flick (movement)	3.735
flick (movie)	2.882
flicker	3.794
flight	3.909
flint	4.849
flirt	2.4
flirty	1.794
float	3.242
flood	4.057
florist	2.343
flour	3.206
flourish	2.412
flow	3.4
flower	1.656
fluent	3.212
fluid	3.375
flute	2.828
flutter	2.265
fly	4.188
fly (insect)	4.324
fly (through air)	3.853
foam	3.68
fodder	4.464
foggy	4
foible	3.294
foil	4.088
foil (metal)	4.647
foil (prevent)	4.531
fold	3.548
folder	4.061
folk	4.333
follow	3.441
folly	3.586
fond	2.714
food	4.133
fool	4.939
foolish	4.706
foot	4.138
foot (body)	4.529
foot (length)	5
football	6.182
forage	4.063
force	5.514
forceful	5.788
ford	4.853
forehead	4.229
foreign	4.273
foreigner	4.581
forest	3.867
forge	5.172
forget	3.941
forgetful	4.471
fork	4.379
fork (cutlery)	4.083
fork (road)	4.788
form	3.909
formation	4.704
former	4.08
fort	5.667
fortress	5.242
fortuitous	4.167
fortunate	3.97
fortune	3.943
forty	4.177
forum	4.235
fought	5.636
foul	4.625
foul (disgusting)	4.943
foul (penalty)	5.375
fountain	3.206
fowl	4.424
fox	4.486
foxes	3.867
foxy	2.182
fragrance	1.647
fragrant	1.971
frail	3.286
frame	4.118
franchise	4.486
frank	4.667
frantic	3.606
fraud	4.735
freak	4.226
freaky	3.839
freckle	2.943
free	3.686
freed	3.939
freedom	4.086
freeze	4.441
fresh	3.206
friction	4.559
fridge	4.139
friend	3.515
friendly	2.879
friendship	3.029
fright	3.464
frightened	3.103
frightening	4.31
frigid	3.029
frock	1.75
frog	4.433
froth	3.742
frown	4.824
frozen	3.853
frugal	4.2
frustrate	4.697
frustrated	4.273
frustration	4.686
fuck	5.313
fuck (exclamation)	5.429
fuck (sex)	5.382
fucker	5.629
fucks	5.273
fuel	5.314
full	4.424
fun	3.353
function	4.529
fund	4.314
funeral	4.294
fungal	4.353
fungus	4.629
funky	3.771
funny	4.353
fur	2.625
furious	4.8
furniture	3.364
furry	3.455
fury	5.257
fuse	4.889
fusion	4.281
fuss	3.273
futile	4.031
future	3.606
gadget	5.727
gag	4.118
gag (choker)	4.429
gag (joke)	4.515
gaiety	3.44
gain	4.273
gala	3
galaxy	3.844
gale	3.971
gallant	5.121
galleon	4.867
gallery	3.273
galley	4.321
game	4.719
game (animal)	4.914
game (sport)	5.735
garbage	5.029
garden	3.206
gardener	4.818
gardens	2.853
garlic	4
garment	2.724
garter	1.936
gash	4.4
gasp	2.829
gastric	4.125
gate	4.114
gather	3.853
gaunt	4.143
gay	4.618
gay (homosexual)	5.556
gay (joyous)	3.455
gaze	3.147
gazelle	2.424
gear	4.788
gem	2.229
gender	3.727
general	4.143
general (common)	4
general (military)	6.471
generation	3.912
generous	3.257
genes	3.781
genius	4.516
genocide	5.433
gentle	2.5
gentleman	6.548
geologist	5.061
geology	4.857
gerbil	4
germinate	3.531
germs	4.546
gesture	3.971
ghastly	3.971
ghetto	5.121
ghost	4.147
ghoul	4.625
giant	5.441
gift	3.036
giggle	1.886
gin	3.657
gingerbread	3.152
giraffe	3.657
girdle	3.029
girl	1.364
girls	1.182
girly	1.114
gist	4.056
give	3.25
glacial	3.5
glacier	4.086
glad	3.606
glamorous	1.625
glamour	1.849
glance	3.194
glanced	3.364
glass	3.786
glasses	4.059
glasses (drinks)	4.086
glasses (eye)	4.061
glee	2.647
glimpse	3.438
glitter	1.914
gloat	5
global	4.629
globe	4.303
gloom	4.594
gloomy	4.469
glorious	2.743
glory	4.853
glove	3.177
gloves	3.5
glow	2.735
glowing	2.546
glue	4.029
goal	5.03
goat	4.621
goblet	4.714
goblin	5.588
god	5.212
goddess	1.171
gods	4.857
goggles	4.194
gold	3.514
golden	2.629
goldfish	3.594
golf	5.788
golfer	5.912
good	3.625
goodbye	3.914
goodness	2.933
goofy	4.971
goose	3.886
gore	5.552
gorge	4.75
gorge (canyon)	4.971
gorge (overeat)	4.294
gorgeous	1.686
gorilla	5.625
gossip	1.971
gothic	3.515
govern	5.188
government	5.912
grab	4.563
grace	1.914
graceful	1.912
grade	3.813
grade (mark)	4.333
grade (slope)	4.143
gradual	3.706
graduate	3.941
graduation	4.118
grain	4.2
grain (sand)	3.829
grain (wheat)	3.879
grammar	3.971
grampa	6.429
grandfather	6.412
grandma	1.177
grandmother	1.222
grandpa	6.606
granite	5
granny	1.294
grape	3.75
grapes	3.118
graph	4.75
graphic	4.882
grasp	4.559
grass	3.931
grasshopper	4.229
grateful	2.912
gratitude	3.088
grave	4.345
grave (cemetary)	4.576
grave (serious)	4.886
gravel	5.276
gravity	4.344
grease	4.882
great	4
greed	5.594
greedy	5.121
green	4.296
green (colour)	3.743
green (environmental)	3.03
green (naive)	3.807
greet	3.576
grenade	6.086
grey	4.697
griddle	4.367
grief	3.588
grieve	3.486
grim	4.943
grime	5.091
grin	4.371
grind	4.971
gripe	4.393
groom	6.571
groom (bride)	6.028
groom (look after)	3.758
gross	4.735
grotesque	5.121
ground	4.438
grow	4.103
growl	5.714
guard	5.515
guest	3.613
guide	4.118
guided	3.543
guilt	4.061
guilty	4.706
guitar	4.964
gullet	4.692
gullible	4.212
gun	6.057
gym	5.219
gymnast	2.677
gymnastics	2.559
habit	3.862
habit (nun)	2.258
habit (smoking)	4.794
habituate	3.8
hackney	4.9
hair	2.645
hairdryer	1.941
half	3.971
hall	4.103
hallucination	3.912
hallway	3.824
ham	4.471
hamlet	4.636
hammer	5.971
hammered	5.576
hammered (drunk)	5.912
hammered (nail)	5.971
hammock	4.382
hamster	3.529
hand	4.25
handbag	1.406
handful	4.265
handicapped	4.177
handkerchief	4
handle	4.265
handler	4.438
hands	3.867
handsome	6.171
handy	4.879
hang	4.276
hanged	5.257
hankering	4
hanky	4.091
haphazard	4.548
happily	3.441
happiness	3.212
happy	3.467
harbour	4.686
hard	5.394
hard (not easy)	4.571
hard (not soft)	5.515
hardship	4.794
harm	4.758
harmful	4.6
harmonica	3.618
harmony	2.733
harness	4.031
harp	2.492
harp (instrument)	2.457
harp (pick on)	3.125
harpsichord	3.238
harsh	4.914
harvest	4.25
hat	4.152
hatch	4
hate	4.857
hatred	4.594
have	3.824
haven	2.371
hawk	5.394
hawk (bird)	4.971
hawk (sell)	4.759
hay	4.182
hazard	4.853
haze	4.412
head	4.118
head (body)	4.353
head (leader)	5.206
head (semen)	6.353
headache	3.824
headlights	4.563
headphones	4.265
headquarters	5.206
heal	2.912
health	3.656
healthy	3.5
hear	3.939
heard	3.912
hearing	3.912
hearing (court)	4.941
hearing (ear)	4.206
heart	2.633
hearth	3.464
heater	4.258
heaven	3.147
heavy	5.333
hedgehog	4.071
heel	2.857
heir	4.714
helicopter	5.455
hell	5
help	3.206
helpful	3.156
helpless	3.364
hen	2.029
hen (chicken)	1.833
hen (woman)	1.485
henchman	6.364
herb	3.029
herbal	3
herd	4.387
heredity	3.933
hernia	4.441
hero	5.743
heroin	4.147
heroine	2.382
heroism	4.375
herring	3.914
hesitant	3.697
hesitate	3.686
hesitation	4.029
hidden	3.743
hide	3.906
hideaway	4.2
hierarchy	5.294
high	4.206
highway	4.912
hilarious	3.829
hill	4.25
hinder	4.273
hint	3.794
hippie	3.567
hippo	4.2
hippopotamus	4.4
historical	4.794
history	4.576
hit	5.429
hit (beat on)	5.088
hit (music)	3.735
hobble	4.353
hockey	4.516
hog	5.639
hold	3.677
hold (grasp)	4.576
hold (store)	4.412
holiday	3.636
holidays	3.667
hollow	4.118
holy	3.882
home	2.567
homicide	5.343
honest	2.824
honesty	3.118
honey	2.455
honeycomb	2.714
honeymoon	2.606
honour	4.514
hood	4.667
hooded	5.212
hoof	4.091
hook	4.571
hooker	2.735
hooker (prostitute)	2.286
hooker (rugby)	6.097
hooves	4.6
hope	2.971
hopeful	3.121
horn	4.879
horrible	4.296
horrid	4.971
horror	4.967
horse	3.857
hospital	3.829
host	3.303
hostage	4.629
hostess	1.486
hostile	5.618
hotel	3.771
hound	5.444
hound (dog)	5.5
hound (persist)	4.941
hour	4.03
house	3.571
hover	4.121
hovercraft	5.412
hug	2.382
hull	5.063
human	3.839
humane	3.546
humanitarian	3.758
humanity	3.485
humble	3.4
humiliate	4.061
humiliated	3.618
humiliation	3.706
hummingbird	2.824
humorous	4.212
humour	4
hurdle	4.5
hurricane	5.143
hurry	3.824
hurt	3.8
husband	6.441
hush	3.182
hydrant	4.543
hymn	3.657
hypothesis	4.343
ice	4.273
iceberg	4.486
icing	2.897
idea	3.571
ideal	3.485
identity	4.031
idiot	5.333
idiotic	5.194
idle	4.433
idol	3.967
igloo	4.5
ignorant	4.727
ignore	4.424
ill	4.029
illness	3.939
illusion	3.824
illustration	3.364
image	3.419
imagination	2.943
imaginative	2.818
imagine	3.294
imam	5.278
immature	4.743
immense	4.844
immoral	4.265
immune	4.063
immunity	4.029
impact	4.727
impair	4.333
impaired	3.933
import	4.273
important	4.345
imported	4.353
impose	4.552
imposing	5.091
impossible	4.6
impotent	5.129
impress	3.727
impression	4
impressionism	4.059
impressive	4.059
impropriety	3.926
improve	3.886
improvement	4.206
impulse	3.824
impulsive	3.971
inane	4.042
incentive	3.677
incest	4.529
inch	4.515
incident	4.469
incompetent	4.486
incredible	3.75
indentify	4.067
independence	4.1
independent	3.483
index	4.115
indifferent	4.242
indoor	3.5
induce	3.485
industrial	5.394
industry	5.629
inebriated	5.154
inefficient	4.441
infant	2.758
infatuation	3
infect	4.581
infection	4.4
infectious	4.118
inferior	4.371
infinite	3.906
infinity	3.943
infirm	4.036
infirmary	3.4
inflame	4.125
infringe	4.118
ingratitude	4.515
inhabitant	4.257
injury	4.688
ink	4.593
inkling	3.294
inn	4.286
innate	3.906
innocent	2.571
input	4.154
insane	4.139
insanity	3.656
insect	4.529
insecticide	5
insecure	2.939
insecurity	2.588
insincere	4.233
insolent	4.606
inspect	4.765
inspection	4.394
inspector	5.618
inspiration	3.207
inspire	2.968
inspired	3.344
install	4.741
installed	4.971
instance	4.179
instant	3.969
instinct	4.382
institution	4.879
instructor	4.71
instrument	3.697
insufficient	3.875
insult	4.486
insulting	4.529
insurance	4.576
intellect	4.294
intellectual	3.771
intelligence	4.147
intelligent	3.686
intend	4.029
intense	4.4
intercontinental	4.212
intercourse	4
interest	3.743
interest (attention)	3.471
interest (monetary)	5
interesting	3.429
interim	4.231
interview	4.758
intimate	2.265
introduce	3.697
introduction	3.97
intruder	5.294
invader	5.667
inventor	5.063
invest	4.6
investigation	4.606
investment	5.235
invoice	4.273
iron	4.273
iron (metal)	5.546
iron (press)	3.353
ironing	2.636
irony	4.147
irresistible	2.333
irritate	4.212
irritating	3.929
irritation	4.517
island	3.667
islander	4.531
isle	3.471
issue	3.647
issue (distribute)	3.943
issue (topic)	3.971
itchy	4.067
item	3.829
ivory	3.821
jackal	4.727
jacket	4.629
jacuzzi	3.171
jaguar	5.182
jail	5.4
jailer	5.636
jam	3.364
jam (preserve)	3.2
jam (traffic)	5.056
jargon	4.9
jazz	4.452
jealous	3.147
jealousy	3.177
jeans	4
jeep	5.484
jelly	3.371
jellyfish	3.588
jeopardy	4.324
jet	5.061
jewel	2.114
jewellery	1.758
jewels	1.971
jigsaw	3.909
job	4.781
jockey	5.636
jog	3.636
jogging	3.697
joiner	5.941
joint	4.32
joint (elbow)	4.235
joint (meat)	5.371
joke	4.636
jolly	4
journal	3.485
joy	2.647
joyful	3.177
jubilant	3.324
judge	4.571
judge (courtroom)	5.333
judge (evaluate)	4.114
jug	3.912
juggle	4.697
juggler	4.912
jumble	4.417
jumper	4.581
jumper (athlete)	4.971
jumper (sweater)	4.294
jungle	4.879
junk	4.912
jury	4.647
justice	3.818
justify	3.647
kangaroo	3.833
keen	3.75
keg	5.5
ketchup	4.147
key	4.286
key (crucial)	3.97
key (keyboard)	4.088
key (lock)	4.25
key (musical)	3.343
keyboard	4.313
keys	4.057
kick	5.455
kidnap	5.265
kidnapped	4.059
kidney	4
kids	2.588
kids (children)	2.5
kids (goats)	3.743
kill	5.886
killed	4.914
killer	5.667
kilt	6.171
kin	3.943
kind	2.6
kind (nice)	2.529
kind (type)	3.677
king	6.806
kingdom	5.355
kinky	3.061
kipper	4.267
kiss	2.206
kissing	2.677
kite	3.677
kite (bird)	3.394
kite (toy)	4.057
kitten	2.147
kiwi	3.455
kiwi (bird)	3.697
kiwi (fruit)	3.257
kiwi (New Zealander)	4.29
kneel	3.771
knife	5.161
knifed	5.853
knight	6.344
knit	2.281
knock	4.546
knot	4.912
knots	4.469
knots (rope)	4.971
knots (speed)	5.333
know	4.115
knowledge	4.379
knuckle	5.625
knuckles	5.382
koala	3.71
label	3.636
lace	2.029
laced	3.086
laces	3.429
lacking	4.152
lad	6.714
ladder	5.265
ladies	1.471
lady	1
ladybird	1.639
lager	5.939
lagoon	3.412
lake	3.433
lamb	2.971
lamp	3.636
lance	5.407
land	4.81
landing	4.324
landing (plane)	4.688
landing (stairs)	3.912
landscape	3.677
lane	3.853
language	3.219
lantern	3.629
lapel	4.393
large	5.167
lark	3.903
lark (bird)	2.9
lark (fun)	4.063
last	3.939
latent	4.406
laugh	3.235
laughter	3.7
launch	4.643
lavish	2.84
law	4.897
lawn	3.893
lawsuit	5.2
lawyer	4.529
lazy	4.647
lead	4.8
lead (direct)	4.771
lead (heavy metal)	5.4
lead (leash)	4.546
leader	5.2
leaf	3.353
leaflet	3.788
league	5.257
lean	4.25
lean (skinny)	3.091
lean (tilt)	3.727
learn	3.471
learning	3.471
least	4.03
leather	4.471
leaves	3.343
lecture	4.03
lecturer	5.029
ledge	4.273
leg	4.088
leg (component)	4.065
leg (limb)	4.059
legal	4.727
legend	5
legend (key)	4.179
legend (tale)	4.886
leggings	1.939
legion	5.581
legislation	5
legislator	5.324
legs	3
leisure	3.371
lemon	3.482
lemonade	3.345
lend	3.964
length	4.379
leopard	4.059
leprosy	4.3
lesbian	1.6
lesson	3.771
letter	3.235
letter (alphabet)	4.061
letter (correspondence)	3.6
letters	3.618
letters (alphabet)	3.939
letters (correspondence)	3.727
lettuce	3.111
liar	4.364
liberty	3.853
librarian	2.529
library	3.781
lice	4.379
lid	3.971
lie	4.147
lie (position)	3.677
lie (untruth)	4.576
lies	4.103
lies (position)	4
lies (untruths)	4.333
life	3.581
lift	4.6
lift (elevator)	4.576
lift (raise)	4.647
light	2.862
light (brightness)	2.971
light (weight)	2.971
lightbulb	3.969
lighthouse	4.171
lighting	3.719
lightning	4.735
lights	3.353
like	2.971
like (love)	2.667
like (similar to)	3.382
lilac	2.214
limb	4.273
limb (body)	4.286
limb (tree)	4.031
limber	4.313
lime	3.966
limit	4.088
limited	3.931
limousine	3.471
limp	4.088
line	4.088
linear	4.333
link	4
lion	5.794
lioness	1.441
lip	2.824
lips	2.433
lipstick	1.355
liquid	3.629
liquor	4.971
list	3.771
listless	3.867
literature	3.206
litre	4.125
litter	4.571
litter (animal babies)	2.636
litter (trash)	4.343
little	3.242
live	3.485
live (not recorded)	4.121
live (to exist)	3.8
lively	3.471
lizard	5.088
llama	3.794
load	5.114
loaf	4.258
loaf (be lazy)	5.03
loaf (bread)	3.941
loan	4.6
lobster	4.457
locate	4.057
location	3.939
lock	4.771
lock (door)	4.529
lock (hair)	2.813
locker	4.706
locket	2.139
log	4.839
log (record)	4.303
log (wood)	5.469
logs	5
logs (records)	4.457
logs (wood)	5.324
loins	4.781
lonely	3.8
long	4.647
long (not short)	4.382
long (yearn)	3.206
longing	3.5
loop	3.429
loophole	4.063
loose	3.482
lord	6.097
lorry	5.588
lose	4.097
loser	4.559
lost	3.969
lottery	4.143
loud	4.912
louse	4.419
lousy	4.529
lovable	2.171
love	2.294
lovely	2.059
lover	3.2
loving	2.314
low	4.088
loyal	3.212
loyalty	3.514
lubricant	4.118
lubricate	4.546
luck	3.4
lucky	3.448
luggage	4.057
lumber	5.5
lumber (move slowly)	4.882
lumber (wood)	5.824
lump	3.909
lunch	3.441
lunching	3.065
lungs	4.086
lure	4.088
luscious	2.091
lush	2.455
lust	3.514
luxury	2.156
lynx	4.794
lyrics	3.769
macabre	4.292
macaroni	4
machine	5.529
mad	4.303
mad (angry)	5.229
mad (crazy)	4.118
madman	6.088
madness	4.324
magazine	2.875
magazine (ammunition)	5.2
magazine (publication)	3.177
maggot	4.941
magic	3.629
magical	2.486
magnificent	3.857
magnitude	4.909
maid	1.657
maiden	1.743
maids	2.182
mail	4.171
main	4.778
maize	3.966
major	5.323
majority	4.578
make	3.794
malady	3.636
malaria	3.818
malice	4.824
malicious	4.457
mall	3.032
mallet	5.324
mammal	4.5
mammoth	4.818
man	6.971
management	5.242
manager	5.086
mangle	4.531
maniac	4.794
manic	4.061
mankind	5.515
manner	3.559
mansion	4.333
manure	4.567
many	3.794
marital	3.088
mark	4.882
mark (grade)	4.029
mark (smudge)	4.5
market	3.647
marquee	3.853
marriage	2.657
married	2.857
marry	2.515
marsh	4.314
marshal	5.788
martial	4.774
marvel	4.235
mask	4.361
mask (cover)	4.242
mask (face)	3.909
mass	4.758
mass (large number)	4.735
mass (religious)	3.971
mass (weight)	4.588
massacre	5.697
massive	5.5
mast	5.188
master	5.567
masturbate	5.735
masturbation	5.657
match	4.75
match (fire)	4.912
match (game)	5.364
match (pairing)	3.6
matches	4.606
mate	5.382
mate (copulate)	4.735
mate (friend)	5.471
material	3.382
mates	5.229
mathematics	4.912
matrix	4.771
matron	1.727
mattress	3.686
mauve	3
maximum	5.061
maze	3.875
meadow	2.657
meagre	4.241
mean	4.324
mean (average)	4
mean (intend)	4.194
mean (nasty)	4.606
mean (stingy)	5.061
measles	4.364
measure	4
meat	5.529
mechanic	6.265
mechanism	5.229
medal	4.849
medallion	5.061
meddle	3.697
medicine	4
medieval	4.818
medium	3.914
medium (intermediate)	3.912
medium (spiritualist)	3
meek	3.484
meet	3.657
meeting	4.265
melody	2.171
melon	3.035
melt	3.515
melted	3.743
memoirs	3.588
memory	3.235
menace	5.429
merchant	5.25
merciful	3.343
mercy	3.303
mermaid	1.469
merry	3.679
mess	4.424
message	3.853
messenger	3.971
messy	4.697
metal	5.241
methane	4.618
method	4.771
metre	4.226
metric	4.5
metropolis	4.364
mice	3.438
microphone	3.971
microscope	4.559
microwave	3.857
middle	4.177
midget	4.471
midst	3.97
midwife	1.514
might	4.667
might (possibly)	3.853
might (strength)	6.061
mighty	5.618
mild	3.364
mildew	3.967
mile	4.156
mileage	5.125
military	6.324
milk	3.257
mill	4.276
million	4.5
millionaire	5.152
mimic	4.029
mind	3.828
miner	6.147
mingle	2.886
minimum	4.281
minister	5.647
mink	3.424
minor	3.939
minority	3.6
mint	3.667
mint (food)	3.543
mint (money)	4.788
minute	3.677
minute (small)	3.257
minute (time)	3.788
miracle	3.294
miraculous	3.029
mirage	3.177
mirror	2.706
mischief	4.582
mischievous	4.4
misconception	4
miser	5.115
miserable	4.182
misery	4.147
missile	5.563
mission	5.235
mistake	4.294
mistress	2.088
mob	5.455
mobility	4.057
mock	4.909
mode	3.97
model	2.353
modest	3.257
moist	3
moisture	3.29
mole	4.485
mole (animal)	4.771
mole (skin)	4.143
mole (spy)	5.273
molecule	4.493
Mom	1.097
moment	3.645
momentum	4.844
monarch	4.152
monarchy	4.344
money	4.688
monk	6.25
monkey	4.857
monster	5.294
month	3.677
monument	4.788
mood	3.515
moody	3.6
moon	3.424
mooring	4.552
moose	4.394
moral	3.281
morality	3.485
morbid	4.743
morgue	4.235
morsel	4.091
mosque	4.9
mosquito	4.191
moss	4.371
most	3.853
moth	3.871
mother	1.088
motherfucker	5.857
motion	3.97
motor	5.912
motorbike	6.061
motorway	5.536
mould	4.233
mound	3.833
mount	4.5
mountain	5.033
mountains	4.8
mounted	4.455
mouse	3.486
mouth	3.433
move	4.25
movie	4
muck	5.29
mucous	4.735
muddy	5.154
muffin	2.853
mug	4.121
mug (cup)	4.088
mug (face)	4.914
mugged	4.765
mule	4.967
multiplication	4.091
multiply	4.143
Mum	1.212
mumble	4.394
Mummy	1.455
mural	3.469
murder	5.636
murderer	5.629
murmur	3.706
muscle	6
muscular	5.969
museum	4.348
mushroom	4.088
mushroom (expand)	4.161
mushroom (food)	4.059
music	3.343
musical	2.903
musician	4.063
musket	5.767
musketeers	6.03
mussel	4.455
mustang	5.714
mustard	4.677
mutation	4.686
mutilate	5.5
mystery	3.485
mystic	2.853
myth	3.706
mythology	3.97
nail	3.226
nail (finger)	2.529
nail (hammer)	5.824
naive	3.097
naked	3.633
name	3.914
named	3.794
namesake	4.257
nanny	1.688
narcotic	4.424
narrow	4.057
nasty	4.424
nation	4.743
national	4.719
natural	2.5
nature	2.939
naughty	3.857
nausea	3.546
naval	4.546
navel	3.971
navy	5.829
near	3.879
neat	2.6
necessary	4.091
necessity	3.8
neck	3.581
necklace	1.543
nectar	2.794
need	3.25
needle	3.286
needy	3.206
negative	4.529
neglect	4.429
neglected	4.028
negotiate	4.219
negotiation	4.424
negotiator	3.971
neighbour	3.818
neon	3.667
nephew	6.118
nervous	3.294
nest	2.897
net	4.147
nettle	4.344
network	4.364
neural	4.077
neurotic	3.571
neutral	3.485
neutron	4.909
new	3.667
news	4.267
nice	2.677
niece	1.424
night	3.686
nightfall	4.214
nightmare	4.471
nimble	2.912
nipple	2.559
noise	4.441
noisy	4.706
nonchalant	4.321
none	4
nonsense	4.061
noon	3.914
noose	4.758
norm	4.121
nose	3.966
note	3.429
notebook	3.147
notepad	3.75
notice	3.839
notion	3.964
noun	3.879
nourish	2.727
nourishment	2.765
novel	3.485
novel (book)	3.177
novel (new)	3.273
novice	4
nucleus	4.061
nude	2.735
nugget	4.242
nuisance	4.257
nun	1.469
nuptials	2.929
nurse	2.129
nursery	2.529
nurture	1.879
nut	4.727
nut (bolt)	5.667
nut (crazy person)	4.485
nut (food)	4
nutmeg	3.588
nutrient	3.353
nutrition	3.636
nutritious	3
nuts	4.886
nuts (bolts)	5.8
nuts (crazy)	3.629
nuts (food)	4.394
nuts (testicles)	6.857
nylon	3.059
nymph	2.815
oak	4.758
oath	4.667
oats	4.313
obedience	3.576
obedient	3.824
obese	4.559
obesity	3.912
obey	4.559
object	4.057
object (disagree)	4.794
object (thing)	3.882
objective	4.063
oblige	3.559
obliging	3.516
oblivion	5.118
oblivious	4.625
obnoxious	4.943
oboe	3.71
obscene	5.029
obscenity	4.97
obscure	4.212
observation	4.235
observe	3.529
obsess	3.353
obsession	3.546
obsessive	3.529
obstacle	4.5
obvious	4.273
occasion	3.242
occasionally	3.818
occupation	4.486
occupy	4.765
occur	4.171
occurrence	4.086
ocean	3.69
octopus	4.367
odd	4.143
odour	5.152
offence	4.853
offend	4.853
offensive	4.833
office	4.455
officer	5.606
offshoot	4.185
oil	4.886
older	4.767
olive	3.152
omission	4.161
omit	4.267
onion	3.933
only	3.939
onslaught	4.967
open	3.265
opening	3.375
opinion	3.677
opium	4
opportunist	4.2
opportunity	4.156
oppose	4.483
opposition	4.829
oppress	4.97
optimal	4
optimism	3.382
optimist	3.294
optimistic	3.382
option	3.788
oral	3.939
orange	3.69
orange (colour)	3.571
orange (fruit)	3.714
orangutan	4.75
orbit	4.5
orchard	2.971
orchestra	3.567
ordain	4.586
ordeal	3.75
ordinary	4.03
organ	4.167
organ (liver)	4.559
organ (piano)	3.853
organise	3.031
organised	2.486
organism	4.118
orgasm	3.057
origin	3.939
ornament	2.912
ostrich	4.088
other	4.121
otter	3.886
ounce	3.667
outbreak	4.6
outcast	4.485
outcome	4.265
outdoors	4.364
outlook	4.121
output	4.941
outrage	4.677
outside	3.97
outsider	4.515
outstanding	4.036
oval	3.257
oven	3.2
over	4
over (above)	4.091
over (cricket)	5.094
over (finished)	4.5
overcast	4.559
overdose	4.171
overt	4.118
owl	3.697
own	4.273
owner	4.939
ownership	4.677
oxygen	3.941
oyster	4.03
pacifism	3.781
pacifist	3.677
pack	4.441
pack (fill)	4.324
pack (group)	5.257
package	5.094
packet	4.265
pact	4.484
padlock	5
page	3.897
page (call)	3.882
page (paper)	3.758
page (ward)	4.04
pail	4
pain	4.546
painful	4.429
paint	3.677
paintbrush	3.257
painter	4.853
pair	3.6
palace	2.967
pale	2.966
pamphlet	3.706
pan	3.943
pan (camera)	4.25
pan (criticise)	3.63
pan (pot)	3.424
pancake	3.257
panda	4.086
panic	3.697
panorama	4.129
panther	4.743
paper	3.852
paperclip	3.719
parachute	4.515
parade	3.706
paradise	3.029
paradox	4.333
